TES;31/01/2022;1;IT01033011006;31/01/2022;S-2200151;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/01/2022];[DatiOrdineAcquisto|IdDocumento|S-2200151]";9012768370;
RIG;31/01/2022;1;;;;1014417;;7813;3.920;;ROSSO;
RIG;31/01/2022;1;;;;1014417;;19911;2.680;;ARANCIONE;
RIG;31/01/2022;1;;;;1014417;;11355;1.040;;GIALLO;
RIG;31/01/2022;1;;;;1014417;;30562;0.710;;VERDE;
RIG;31/01/2022;1;;;;1014417;;57236;0.200;;BIANCO;
RIG;31/01/2022;1;;;;1014417;;1;1950.670;;DISINFESTAZIONE E DERATTIZZAZIONE;
TES;31/01/2022;2;IT01033011006;31/01/2022;S-2200151;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/01/2022];[DatiOrdineAcquisto|IdDocumento|S-2200151]";9012768370;
RIG;31/01/2022;2;;;;1014417;;7813;3.920;;ROSSO;
RIG;31/01/2022;2;;;;1014417;;19911;2.680;;ARANCIONE;
RIG;31/01/2022;2;;;;1014417;;11355;1.040;;GIALLO;
RIG;31/01/2022;2;;;;1014417;;30562;0.710;;VERDE;
RIG;31/01/2022;2;;;;1014417;;57236;0.200;;BIANCO;
RIG;31/01/2022;2;;;;1014417;;1;1950.670;;DISINFESTAZIONE E DERATTIZZAZIONE;
